step,train_loss,val_loss,learning_rate,elapsed_seconds
100,7.248220610618591,7.222011065483093,0.0003,77.52265220799745
200,6.9792519330978395,6.964065027236939,0.0002992086242158385,160.07648450000124
300,6.689994812011719,6.743690729141235,0.00029684377502086165,236.9944811250025
400,6.466716051101685,6.460735034942627,0.0002929331781096783,308.7996815000006
500,6.208232975006103,6.2110614538192745,0.00028752268165557917,387.3462628749985
600,6.080824398994446,6.111468410491943,0.0002806757187826245,466.26581799999985
700,5.968765664100647,5.969975590705872,0.00027247256387026185,553.360424874998
800,5.843045449256897,5.938215494155884,0.0002630093914096226,679.3383603749971
900,5.705649709701538,5.789749598503112,0.00025239714844554667,805.5257884579987
1000,5.579931402206421,5.659939384460449,0.00024076025382392156,928.048322374998
1100,5.602139949798584,5.6270331859588625,0.00022823513949447164,1057.4311045409995
1200,5.466217470169068,5.484528517723083,0.00021496865097088842,1170.7609212079988
1300,5.397772765159607,5.444395112991333,0.0002011163257014448,1305.5900740829966
1400,5.311947703361511,5.374290347099304,0.00018684056953462323,1349.9254955409997
1500,5.283656024932862,5.313299560546875,0.00017230875265903135,1396.2836847079961
1600,5.175393962860108,5.3055499792099,0.00015769124734096862,1435.125950791
1700,5.257612347602844,5.258128881454468,0.00014315943046537674,1475.4442322499963
1800,5.151737713813782,5.223832440376282,0.0001288836742985552,1518.6719134160012
1900,5.0862136602401735,5.214729070663452,0.00011503134902911152,1561.984305541002
2000,5.116908216476441,5.224367952346801,0.00010176486050552833,1610.3624414160004
2100,5.070311760902404,5.128278732299805,8.923974617607838e-05,1661.0919385410016
2200,5.053987908363342,5.148746013641357,7.760285155445325e-05,1713.386831374999
2300,5.042126965522766,5.075343918800354,6.699060859037737e-05,1773.2163179999989
2400,5.05411729812622,5.070525574684143,5.7527436129738084e-05,1828.5010374580015
2500,4.9827649116516115,5.075815653800964,4.9324281217375474e-05,1885.8586711660028
2600,5.037399101257324,5.044661283493042,4.247731834442082e-05,1945.723074540998
2700,4.950455975532532,5.065050148963929,3.7066821890321684e-05,1998.6277874579973
2800,4.910843276977539,5.047945809364319,3.31562249791383e-05,2052.4449174999972
2900,4.927929139137268,5.054714465141297,3.0791375784161455e-05,2118.5445651249975
3000,4.933343839645386,5.076717209815979,3e-05,2200.2176743329983
